Season,Team,GP,G,A,P,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current,Gang green 4,8.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 2,9.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 2,8.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2022,Gang Green 2,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Winter 2022,Gang Green 2,7.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2021,Gang Green 2,9.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Fall 2019,Gang Green 2,20.0,4.0,6.0,10.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0
Spring 2019,Gang Green 2,13.0,7.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
,,79.0,16.0,19.0,35.0,18.0,1.0,2.0,0.0,0.0,3.0,4.0
