Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 2,7.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Current,Gang green 4,6.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
Winter 2023,Gang Green 2,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2023,Gang Green 3,8.0,8.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Fall 2022,Gang Green 2,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2022,Gang Green 3,8.0,5.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
Summer 2022,Gang Green 2,6.0,3.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Summer 2022,Gang Green 3,8.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Winter 2022,Gang Green 2,9.0,2.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0
Winter 2022,Gang Green 3,8.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Fall 2021,Gang Green 2,9.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fall 2019,Gang Green 2,18.0,6.0,2.0,8.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
Spring 2019,Gang Green 2,16.0,14.0,6.0,20.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Fall 2018,Gang Green 2,20.0,11.0,5.0,16.0,12.0,0.0,1.0,0.0,0.0,2.0,1.0
Spring 2018,Gang Green 2,15.0,7.0,6.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0
Fall 2017,Gang Green 2,19.0,8.0,7.0,15.0,8.0,0.0,2.0,0.0,0.0,1.0,2.0
Spring 2017,Gang Green 2,13.0,7.0,6.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2016,Gang Green 2,12.0,8.0,3.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
,,196.0,99.0,53.0,152.0,79.0,3.0,10.0,1.0,1.0,15.0,11.0
