Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Fall 2019,Gang Green 2,19.0,2.0,5.0,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0
Fall 2019,Gang Green 3,10.0,2.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0
Spring 2019,Gang Green 2,15.0,0.0,6.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2018,Gang Green 2,18.0,2.0,4.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0
Spring 2018,Gang Green 2,16.0,1.0,11.0,12.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
Fall 2017,Gang Green 2,19.0,5.0,3.0,8.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0
Spring 2017,Gang Green 2,14.0,0.0,4.0,4.0,38.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2016,Gang Green 2,19.0,4.0,3.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0
Spring 2016,Gang Green 2,15.0,7.0,7.0,14.0,22.0,1.0,1.0,0.0,0.0,0.0,2.0
Fall 2015,Gang Green 2,20.0,2.0,8.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0
Spring 2015,Gang Green 2,16.0,1.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2014,Gang Green 2,20.0,5.0,7.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring 2014,Gang Green 2,14.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2013,Gang Green 2,20.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring 2013,Gang Green 2,13.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2012,Gang Green 2,21.0,3.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring 2012,Gang Green 2,10.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2011,Gang Green 2,22.0,2.0,9.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
,,301.0,39.0,84.0,123.0,182.0,3.0,12.0,2.0,1.0,1.0,9.0
