Season,Team,Games Played,Goals,Assists,Points,PIMs,PPG,PPA,SHG,SHA,GWG,GWA
Current,Gang Green 3,4.0,2.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
Current,Gang green 4,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Winter 2023,Gang Green 3,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,Gang Green 2,15.0,3.0,2.0,5.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0
Spring 2019,Gang Green 2,11.0,5.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Fall 2018,Gang Green 2,16.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
Spring 2018,Gang Green 2,13.0,2.0,5.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
Fall 2017,Gang Green 2,17.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Spring 2017,Gang Green 2,8.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2016,Gang Green 2,14.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spring 2016,Gang Green 2,13.0,3.0,5.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
Fall 2015,Gang Green 2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,128.0,20.0,26.0,46.0,32.0,2.0,8.0,1.0,0.0,2.0,5.0
